Id,Condition 1,Condition 2,Overall Qual,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,1st Flr SF,Gr Liv Area,Kitchen Qual,Functional,Garage Finish,Garage Cars,Garage Area,SalePrice
2154,Norm,Norm,7,Gd,TA,PConc,Gd,TA,860.0,1212,1992,Gd,Min2,RFn,2.0,608.0,211000
550,RRAe,Norm,7,Gd,TA,PConc,Gd,TA,754.0,754,1540,Gd,Typ,RFn,2.0,495.0,184000
811,Norm,Norm,5,TA,TA,Slab,Not Applicable,Not Applicable,0.0,1535,1535,TA,Typ,Unf,2.0,400.0,118858
124,Norm,Norm,5,TA,TA,PConc,TA,TA,1152.0,1152,1152,TA,Typ,RFn,2.0,484.0,180500
1836,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1141.0,1151,1151,Gd,Typ,Fin,2.0,484.0,166000
779,Norm,Norm,6,TA,TA,CBlock,TA,TA,1138.0,1138,1138,TA,Typ,RFn,2.0,480.0,148000
1886,Norm,Norm,5,TA,TA,CBlock,TA,TA,894.0,1074,1074,Gd,Min1,Unf,2.0,396.0,124000
1724,Norm,Norm,9,Ex,TA,PConc,Ex,TA,1561.0,1561,1561,Ex,Typ,Fin,2.0,556.0,277500
2450,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1342.0,1358,2726,Gd,Typ,RFn,3.0,725.0,350000
1013,Norm,Norm,9,Ex,TA,PConc,Ex,TA,1884.0,1884,1884,Ex,Typ,Fin,3.0,670.0,387000
2084,Norm,Norm,4,TA,TA,BrkTil,TA,TA,528.0,605,605,TA,Typ,Not Applicable,0.0,0.0,86000
1184,Norm,Norm,8,Ex,Ex,CBlock,Gd,Ex,1426.0,1671,1671,Ex,Typ,RFn,2.0,550.0,290000
728,Norm,Norm,3,TA,Fa,CBlock,Fa,TA,245.0,797,797,TA,Typ,Not Applicable,0.0,0.0,44000
950,Norm,Norm,6,TA,TA,PConc,Ex,TA,804.0,804,1961,Gd,Typ,Fin,2.0,560.0,215000
2524,RRAn,Feedr,5,TA,TA,CBlock,Gd,TA,1153.0,1193,1193,TA,Typ,Fin,2.0,501.0,146500
2513,Norm,Norm,7,Gd,TA,PConc,Gd,TA,673.0,673,1382,Gd,Typ,Unf,2.0,490.0,165000
2028,Artery,Norm,6,TA,Gd,BrkTil,TA,TA,714.0,1664,2526,Gd,Typ,Unf,1.0,216.0,136000
2309,Norm,Norm,6,TA,TA,CBlock,Gd,TA,1705.0,1390,1390,Ex,Min1,Unf,2.0,550.0,252000
51,Norm,Norm,7,Gd,TA,PConc,Gd,TA,764.0,764,1626,Gd,Typ,RFn,2.0,474.0,175500
699,Norm,Norm,5,TA,TA,BrkTil,TA,TA,690.0,868,1558,TA,Typ,Unf,2.0,400.0,150000
1881,Norm,Norm,5,TA,TA,CBlock,TA,TA,978.0,1422,1422,TA,Min1,RFn,1.0,286.0,139900
1345,Norm,Norm,5,TA,TA,PConc,TA,TA,1078.0,1128,1573,TA,Typ,Unf,2.0,360.0,162900
166,Norm,Norm,6,TA,TA,CBlock,TA,TA,1116.0,1116,1116,TA,Typ,Unf,2.0,440.0,160000
781,Norm,Norm,2,TA,TA,Slab,Not Applicable,Not Applicable,0.0,660,660,Fa,Min2,Not Applicable,0.0,0.0,63900
379,Norm,Norm,6,TA,TA,PConc,TA,TA,1140.0,1707,1707,TA,Typ,Fin,2.0,479.0,184000
2818,Norm,Norm,5,TA,TA,CBlock,TA,TA,1466.0,1466,1466,Fa,Typ,Fin,2.0,528.0,149900
1168,Norm,Norm,9,Gd,TA,PConc,Gd,TA,1614.0,1638,1638,Ex,Typ,Fin,2.0,495.0,300000
1396,Norm,Norm,5,TA,TA,CBlock,TA,TA,988.0,1721,1721,TA,Mod,Unf,2.0,626.0,145000
838,Norm,Norm,6,TA,TA,PConc,Gd,TA,928.0,928,1764,Gd,Typ,RFn,2.0,470.0,231500
1492,Norm,Norm,5,TA,TA,CBlock,TA,TA,996.0,996,996,TA,Typ,Not Applicable,0.0,0.0,108000
637,Norm,Norm,5,TA,TA,CBlock,TA,TA,1202.0,1202,1202,TA,Typ,RFn,1.0,304.0,120000
1826,Norm,Norm,5,TA,TA,CBlock,TA,TA,988.0,988,988,TA,Typ,Unf,2.0,572.0,128500
173,Artery,Norm,5,TA,TA,CBlock,TA,TA,1008.0,1028,1028,TA,Typ,Unf,2.0,360.0,115000
715,Norm,Norm,5,TA,TA,CBlock,TA,TA,720.0,720,1284,TA,Typ,Unf,1.0,240.0,110000
1183,Norm,Norm,9,Gd,Gd,CBlock,Gd,TA,994.0,1599,2944,Gd,Typ,RFn,3.0,864.0,150000
2433,Norm,Norm,8,Gd,TA,PConc,Ex,Gd,707.0,707,1414,Gd,Typ,Fin,2.0,403.0,178000
2866,Norm,Norm,7,TA,TA,BrkTil,TA,TA,637.0,959,1609,Gd,Typ,Unf,3.0,579.0,199500
2311,Norm,Norm,6,TA,TA,PConc,TA,TA,813.0,813,1525,TA,Typ,Fin,2.0,400.0,183500
1551,Norm,Norm,5,Fa,TA,CBlock,Gd,TA,624.0,1092,1656,TA,Mod,Unf,1.0,288.0,126000
1049,Norm,Norm,7,TA,TA,CBlock,Gd,TA,1055.0,1055,1055,TA,Typ,Unf,2.0,440.0,148500
657,Norm,Norm,5,TA,Gd,BrkTil,TA,TA,676.0,676,1352,Gd,Typ,Unf,2.0,720.0,149000
414,Norm,Norm,6,TA,TA,CBlock,Gd,TA,855.0,855,1456,TA,Typ,Unf,2.0,440.0,137900
1181,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1719.0,1719,1719,Gd,Typ,Fin,2.0,473.0,324000
1514,Norm,Norm,5,TA,TA,CBlock,TA,TA,864.0,864,864,TA,Typ,Not Applicable,0.0,0.0,98000
1040,Norm,Norm,6,TA,TA,CBlock,TA,TA,483.0,483,987,TA,Typ,Unf,1.0,264.0,103400
216,Feedr,Norm,5,TA,Gd,CBlock,TA,TA,780.0,780,1020,TA,Typ,Not Applicable,0.0,0.0,94000
1720,Norm,Norm,8,Gd,TA,PConc,Gd,Gd,1554.0,1554,1554,Gd,Typ,RFn,2.0,627.0,209500
2331,Norm,Norm,10,Ex,TA,PConc,Ex,TA,1528.0,1528,3390,Ex,Typ,Fin,3.0,758.0,545224
204,Norm,Norm,6,Gd,Gd,PConc,TA,TA,780.0,780,1560,Gd,Typ,Not Applicable,0.0,0.0,159900
19,Norm,Norm,4,TA,TA,CBlock,TA,TA,864.0,864,864,TA,Typ,Unf,2.0,400.0,141000
2438,Norm,Norm,6,TA,TA,PConc,Gd,TA,982.0,1008,1889,TA,Typ,Fin,2.0,431.0,215000
89,Norm,Norm,5,TA,Gd,CBlock,TA,TA,1040.0,1040,1040,TA,Typ,Unf,1.0,260.0,127000
240,Norm,Norm,5,TA,TA,CBlock,TA,TA,1172.0,1172,1172,TA,Typ,Fin,1.0,366.0,128000
105,Norm,Norm,8,Gd,TA,PConc,Ex,Po,1642.0,1418,1418,Gd,Typ,RFn,3.0,852.0,267916
2020,Norm,Norm,6,TA,TA,BrkTil,TA,Fa,884.0,959,1367,TA,Typ,Unf,1.0,560.0,127500
888,Norm,Norm,7,Gd,TA,Slab,Not Applicable,Not Applicable,0.0,495,1922,Gd,Typ,RFn,2.0,672.0,198500
1019,Norm,Norm,6,TA,Gd,CBlock,Gd,TA,1422.0,1422,1422,Gd,Typ,Fin,2.0,576.0,175500
2132,Norm,Norm,7,Gd,TA,PConc,Gd,TA,985.0,985,1842,Gd,Typ,Fin,2.0,486.0,217500
203,Norm,Norm,4,TA,Fa,CBlock,TA,TA,888.0,888,1962,TA,Typ,Unf,2.0,572.0,149500
420,Norm,Norm,5,Gd,TA,PConc,TA,TA,864.0,1120,1120,TA,Typ,RFn,2.0,656.0,148800
2333,Norm,Norm,9,Gd,TA,PConc,Ex,TA,1992.0,1992,2868,Ex,Typ,Fin,3.0,716.0,556581
632,Norm,Norm,6,TA,TA,CBlock,TA,TA,1478.0,1478,1478,TA,Typ,RFn,2.0,442.0,156500
2800,Norm,Norm,7,Gd,Gd,PConc,Gd,Gd,930.0,950,1995,Gd,Typ,RFn,2.0,610.0,237000
1885,Norm,Norm,5,TA,TA,CBlock,TA,TA,912.0,912,912,TA,Typ,Fin,1.0,297.0,120000
1734,Norm,Norm,6,TA,TA,PConc,Gd,TA,1326.0,1326,1326,Gd,Typ,Fin,2.0,388.0,203000
2327,Norm,Norm,8,TA,TA,CBlock,Gd,TA,1191.0,1204,1204,TA,Typ,RFn,2.0,461.0,130000
1282,Norm,Norm,6,TA,TA,CBlock,TA,TA,780.0,798,1611,TA,Typ,RFn,2.0,442.0,167900
2688,RRAn,Norm,4,TA,TA,CBlock,TA,TA,960.0,960,960,TA,Typ,Unf,2.0,576.0,129000
2581,Norm,Norm,5,TA,TA,CBlock,TA,TA,1070.0,1236,1236,Gd,Min1,Unf,1.0,447.0,134450
2067,Norm,Norm,5,TA,Gd,BrkTil,TA,TA,816.0,1416,1416,Gd,Typ,Unf,2.0,576.0,112000
2115,Norm,Norm,7,Gd,TA,PConc,Gd,TA,929.0,946,1873,Gd,Typ,RFn,2.0,619.0,207000
754,Norm,Norm,5,TA,TA,BrkTil,TA,Fa,1040.0,1088,2128,TA,Sev,Not Applicable,0.0,0.0,62500
1079,Norm,Norm,7,Gd,TA,PConc,Gd,TA,764.0,764,1626,Gd,Typ,RFn,2.0,474.0,154000
2615,Norm,Norm,5,TA,TA,CBlock,TA,TA,816.0,816,816,TA,Typ,Unf,1.0,308.0,129900
329,Norm,Norm,5,TA,TA,CBlock,Gd,TA,536.0,536,1112,TA,Typ,Unf,1.0,336.0,85000
1320,Norm,Norm,7,TA,TA,PConc,TA,TA,572.0,572,1111,TA,Typ,Unf,1.0,288.0,116900
416,Norm,Norm,6,TA,TA,CBlock,TA,TA,855.0,855,1441,TA,Typ,Unf,2.0,440.0,148500
284,Norm,Norm,4,TA,Fa,BrkTil,Gd,TA,672.0,672,924,Fa,Typ,Unf,1.0,280.0,80000
1385,Norm,Norm,5,TA,TA,PConc,Gd,TA,1060.0,1126,1126,TA,Typ,Unf,2.0,506.0,152000
275,Norm,Norm,5,TA,Gd,CBlock,Fa,TA,381.0,992,992,TA,Typ,Unf,1.0,319.0,155891
2024,Norm,Norm,6,TA,Gd,PConc,TA,TA,768.0,752,1376,Gd,Typ,Unf,2.0,576.0,165000
68,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1218.0,1218,1218,Gd,Typ,RFn,2.0,676.0,204500
1910,Artery,Norm,5,TA,TA,CBlock,TA,TA,728.0,888,1644,Gd,Typ,Unf,1.0,312.0,146500
381,RRAn,Norm,7,TA,TA,CBlock,Gd,TA,1271.0,1601,1601,TA,Typ,RFn,2.0,478.0,157000
1323,Norm,Norm,7,TA,TA,BrkTil,TA,TA,1313.0,1313,2495,TA,Typ,Unf,2.0,342.0,184000
2432,Norm,Norm,6,Gd,TA,PConc,Gd,TA,783.0,807,1509,Gd,Typ,Fin,2.0,393.0,183200
777,Norm,Norm,5,TA,TA,CBlock,TA,TA,1092.0,1092,1092,TA,Typ,Unf,1.0,288.0,139000
1107,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1311.0,1325,2418,Gd,Typ,RFn,3.0,983.0,341000
30,Norm,Norm,6,TA,TA,CBlock,TA,TA,483.0,483,987,TA,Typ,Unf,1.0,264.0,96000
282,Norm,Norm,4,TA,TA,PConc,Gd,TA,1121.0,1121,1121,TA,Typ,RFn,2.0,440.0,140000
188,Artery,Norm,6,TA,TA,CBlock,TA,TA,912.0,1236,1236,TA,Typ,Unf,2.0,923.0,149700
2356,Norm,Norm,5,TA,TA,CBlock,Gd,TA,1056.0,1074,1074,TA,Typ,RFn,2.0,495.0,153500
1554,Norm,Norm,1,Fa,Po,Slab,Not Applicable,Not Applicable,0.0,733,733,Fa,Sal,Unf,2.0,487.0,13100
1464,Norm,Norm,7,Gd,TA,PConc,Gd,TA,884.0,884,1768,Gd,Typ,RFn,2.0,543.0,224900
2469,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1257.0,1266,1266,Gd,Typ,Unf,2.0,453.0,176000
1834,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1683.0,2129,2872,Gd,Typ,Fin,2.0,541.0,285000
1779,RRAn,Norm,8,Gd,TA,PConc,Gd,TA,1485.0,1464,1464,Gd,Typ,Unf,3.0,754.0,282922
2569,Norm,Norm,7,TA,TA,CBlock,TA,TA,924.0,1216,2157,Gd,Typ,Fin,2.0,487.0,226000
2334,Norm,Norm,8,Ex,TA,PConc,Ex,Gd,1234.0,1264,2576,Ex,Typ,Fin,3.0,666.0,361919
2330,Norm,Norm,9,Gd,Ex,PConc,Ex,TA,1398.0,1414,2798,Ex,Typ,Fin,3.0,670.0,457347
2119,Norm,Norm,8,Gd,TA,CBlock,Gd,Gd,966.0,1743,1743,Gd,Typ,Fin,2.0,529.0,279000
988,Norm,Norm,6,TA,TA,PConc,TA,TA,1567.0,1567,1567,Gd,Typ,RFn,2.0,714.0,196000
382,Norm,Norm,7,TA,TA,CBlock,Gd,TA,1090.0,1370,1370,TA,Typ,RFn,2.0,479.0,152000
670,Artery,Norm,5,TA,TA,CBlock,TA,TA,1248.0,1338,2634,TA,Typ,Unf,4.0,968.0,200000
2760,Norm,Norm,8,Gd,TA,PConc,Ex,TA,1570.0,1590,1590,Ex,Typ,Fin,3.0,754.0,294900
543,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1450.0,1450,1450,Gd,Typ,RFn,3.0,788.0,224243
2835,Artery,Norm,6,TA,Fa,BrkTil,Fa,Fa,832.0,846,1338,TA,Typ,Unf,2.0,528.0,92000
1735,Norm,Norm,7,Gd,TA,PConc,Gd,TA,728.0,728,1456,Gd,Typ,Fin,2.0,400.0,179540
448,Norm,Norm,10,Ex,TA,PConc,Ex,TA,2392.0,2392,2392,Ex,Typ,Fin,3.0,968.0,386250
2287,Norm,Norm,4,TA,TA,CBlock,Gd,TA,530.0,530,992,TA,Typ,Fin,1.0,297.0,106500
524,Norm,Norm,10,Ex,TA,PConc,Ex,TA,1017.0,1026,2007,Ex,Typ,Fin,3.0,812.0,310000
1767,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1066.0,1108,2385,Gd,Typ,Fin,3.0,600.0,252000
2206,Norm,Norm,7,TA,Gd,CBlock,TA,TA,918.0,918,1646,TA,Typ,Unf,1.0,240.0,164000
1740,Norm,Norm,7,Gd,TA,PConc,Gd,TA,728.0,728,1456,Gd,Typ,Fin,2.0,400.0,177594
199,Norm,Norm,5,TA,TA,CBlock,TA,Fa,528.0,548,1040,TA,Typ,Fin,2.0,624.0,123900
2214,Feedr,Norm,6,TA,TA,BrkTil,Gd,TA,1370.0,1370,2624,TA,Typ,Unf,3.0,864.0,239000
323,Norm,Norm,5,TA,TA,CBlock,TA,TA,1068.0,1264,1264,TA,Typ,Unf,2.0,528.0,169000
2421,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1374.0,1557,1557,Gd,Typ,Fin,2.0,420.0,234000
952,Norm,Norm,6,TA,TA,CBlock,Gd,TA,957.0,1287,1287,TA,Typ,RFn,2.0,541.0,173000
24,Norm,Norm,6,TA,TA,CBlock,TA,TA,1004.0,1004,1004,TA,Typ,Fin,2.0,480.0,149000
1139,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1162.0,1162,1162,Gd,Typ,Fin,2.0,483.0,170000
518,Norm,Norm,7,Gd,TA,PConc,Ex,TA,1436.0,1436,1436,Gd,Typ,Fin,2.0,529.0,225000
1390,Feedr,Norm,5,TA,Gd,CBlock,TA,TA,960.0,960,960,Gd,Typ,Fin,1.0,300.0,144900
277,Norm,Norm,5,TA,TA,CBlock,Gd,TA,1196.0,1196,1196,TA,Typ,RFn,1.0,336.0,144000
54,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1256.0,1269,1269,Gd,Typ,Fin,2.0,430.0,192000
649,Norm,Norm,5,Gd,TA,CBlock,TA,TA,1031.0,1031,1031,Gd,Typ,Unf,1.0,230.0,145500
